team,base,average_aika,average_eteneminen,week
1011,1,4.0464670000000506923,4.3280049230768853077,22
1002,1,4.1099998333333285000,4.4099991666666938333,22
1011,2,4.0421618750003178750,4.3821601250003256250,22
1002,2,3.9333333333333943333,4.2199993333333626667,22
1002,3,4.9799994999998495000,5.4599995000000950000,22
1011,3,5.0416585000000395000,5.3778447500000082500,22
1015,2,4.0071488000003228000,4.3431484000000638000,22
1009,3,5.1707172000002022667,5.6374496666667104000,22
1015,1,4.0037637499999617500,4.3337619999999787500,22
1009,2,4.0561316923074696923,4.4484378461536380769,22
1015,3,5.0181000000008373333,5.3847653333341440000,22
1009,1,4.0353258749999553750,4.4078236250000486250,22
1013,3,5.2773365000000467500,6.0448346250000213750,22
1013,2,4.1199993333333013333,4.4799990000001343333,22
1012,3,4.9933323333328490000,6.7266636666669606667,22
1012,2,3.7999990000007530000,4.1999990000003890000,22
1012,1,3.9699985000001256667,4.3666645000000698333,22
1013,1,4.0399988000001030000,4.4199941999999282000,22
1005,3,5.1166024444446016667,5.5505113333334117778,22
1008,1,4.1128837142859992857,4.4271689999999840000,22
1001,2,4.0725285000002788333,4.4558609999998755000,22
1001,3,5.1580440000001546000,5.6340436000004048000,22
1001,1,4.0798152000003032000,4.4414717999999996000,22
1008,3,5.3002895000000765000,5.8702887500003272500,22
1008,2,4.1400881666662220000,4.5000864999997248333,22
1014,1,4.0704754999998157500,4.3883585000000096250,22
1014,3,5.1334066666668150000,5.4177420000002410000,22
1014,2,4.0683076666664927778,4.3653528888887397778,22
1005,2,3.9980505000000903000,4.3531091000002107000,22
1005,1,3.9873917999999324000,4.2753883999999746000,22
1004,2,3.9033324999997300000,4.2799991666662815000,22
1003,2,3.9599965000006705000,4.3249950000000582500,22
1003,1,3.9699969999998075000,4.3524967499998867500,22
1004,3,5.0649997500004250000,6.3149954999998957500,22
1004,1,3.8679959999996752000,4.1799953999997340000,22
1003,3,5.0999999999999090000,5.4500000000000455000,22
1014,1,4.0486178461538447692,4.4286173846155460769,23
1006,2,3.9514755294118566471,4.3255916470587931176,23
1014,2,3.9952931111111462222,4.3864027777777261111,23
1006,1,3.9667067222221955556,4.3700389999998807778,23
1014,3,5.1610106666666979444,5.7070486111109756667,23
1006,3,5.1716460909090901818,5.4698234545456382727,23
1002,1,3.9776035000000516429,4.3033170000001389286,23
1012,1,3.9458400000001576000,4.3078394999998863000,23
1012,2,4.0725736666670148889,4.4281281111114671111,23
1012,3,5.1802301666668121667,5.6268960000000636667,23
1002,3,5.1202742631578650526,6.0855349473684951579,23
1002,2,4.0141050000000858750,4.3241042500000617500,23
1005,1,4.0189838333335500000,4.3382533333334550000,23
1005,2,3.9382548888890293333,4.2580162222223206667,23
1010,1,4.0527841818181658636,4.3640738636363390909,23
1010,2,4.0557743529412780588,4.3634121764706406471,23
1005,3,5.0558850999998866000,5.9678784999997787000,23
1010,3,5.1749146249997580625,5.7349135624999122500,23
1013,2,4.0763445999999933000,4.3923435000000610000,23
1013,1,4.0985730000001099231,4.4031869230769957692,23
1004,1,3.9672640909091322727,4.1981716363636884545,23
1013,3,5.2323425714286847143,5.6980548571429090000,23
1004,2,3.9333312222223765556,4.1999962222223784444,23
1004,3,5.0999970000000302500,5.5974950000000943750,23
1007,2,4.0645556315788015263,4.4571868421051142105,23
1001,1,4.0078094347827376522,4.3511089565216856522,23
