team,base,average_aika,average_eteneminen,monthy
1013,3,5.1021913859648632105,5.6253481403508479123,8
1013,1,4.0624667777776511852,4.3783917407406029630,8
1013,2,4.1121182909090914364,4.5280930545455166364,8
1005,1,4.0780320666667346167,4.4526860833333331167,8
1002,2,3.9757364285714516250,4.3129378749999887857,8
1005,3,5.0422864328358845672,5.9175081492538342239,8
1002,3,5.0611133043477979783,5.9647198043478412609,8
1002,1,3.9952872166667968667,4.3400440000000231500,8
1005,2,4.0017653589744756282,4.3456103076923886923,8
1009,1,4.0702166551724028793,4.4009051379310041552,8
1009,2,4.0850867631579124737,4.4035063157893581842,8
1009,3,5.1392146666667335111,5.7072132444444328222,8
1007,1,4.0395359583332939375,4.4715677499999961458,8
1015,2,4.0035832586207200862,4.3773751551724013276,8
1015,1,3.9584509701493374030,4.3459122238806068358,8
1015,3,5.0245194871795319744,5.9430499487180627436,8
1004,2,3.9581459180327799180,4.3460138688525134590,9
1004,1,3.9462765925926553333,4.3899789999999825000,9
1004,3,4.8853393272728392545,5.6166105636364096182,9
1008,3,5.0856041249999182500,5.8130996249999500000,9
1008,1,4.1670879999999214167,4.5520874166663815833,9
1009,3,5.1002869333333668000,5.7202856666664956667,9
1009,2,3.9751771249997318750,4.2576759999998330000,9
1005,1,3.9732729148936414468,4.4022077659573988723,9
1009,1,4.0482843333333561667,4.2966167500001120000,9
1005,3,4.9400721818182403030,5.8031004545454876667,9
1005,2,3.9467164000000480000,4.3352153499999872500,9
1008,2,4.0877710000000892500,4.3977700000000370000,9
1015,1,3.9483522999999422500,4.2393515499999921500,9
1015,2,4.0975078461540830769,4.4282762307692652308,9
1014,1,4.0133954210526003684,4.3586574736842330526,9
1015,3,5.0023893157895383684,5.8023875263158372105,9
1014,2,4.0615784117646988235,4.3945184705882157647,9
1014,3,5.1358223333332945000,6.2591492499999505000,9
1006,2,3.9809222448979738163,4.3307165510204683061,9
1002,2,3.9781980967742392903,4.2962616774194107742,9
1002,3,5.0840896521740828696,5.8840881739130332609,9
1006,1,3.9533937878788257576,4.2921809393938639697,9
1006,3,4.9677350769231557692,5.9946546538462126923,9
1002,1,3.9678761739132328261,4.2557010434783596957,9
